ProductCode,Name,FaName,BrandName,BrandId,CategoryName,CategoryId
gsp-16323,Simple Tablet Bag for Lenovo Tab E7 TB-7104 - Black Cream,کیف تبلت ساده لنوو Tab E7 TB-7104 - کرم مشکی,متفرقه,327,قاب و کیف تبلت,235
gsp-16327,Simple Tablet Bag for Huawei Media Pad T1 - Black,کیف تبلت ساده هواوی Media Pad T1 - مشکی,متفرقه,327,قاب و کیف تبلت,235
gsp-16322,Simple Tablet Bag for Lenovo TAB M8 8505X - Golden,کیف تبلت ساده لنوو TAB M8 8505X - طلایی,متفرقه,327,قاب و کیف تبلت,235
gsp-16319,Simple Tablet Bag for Samsung Galaxy Tab A 8.0 2019 LTE SM-P205 - Brown,کیف تبلت ساده سامسونگ Galaxy Tab A 8.0 2019 LTE SM-P205 - قهوه ای,متفرقه,327,قاب و کیف تبلت,235
gsp-16324,Simple Tablet Bag for Lenovo Tab E7 TB-7104 - Black,کیف تبلت ساده لنوو Tab E7 TB-7104 - مشکی,متفرقه,327,قاب و کیف تبلت,235
gsp-16316,Simple Tablet Bag for Samsung Galaxy Tab A 8.0 2019 LTE SM-P205 - Light Brown,کیف تبلت ساده سامسونگ Galaxy Tab A 8.0 2019 LTE SM-P205 - قهوه ای روشن,متفرقه,327,قاب و کیف تبلت,235
gsp-16312,Patterned Tablet Bag for Lenovo TAB M8 8505X - Code 694,کیف تبلت طرح دار لنوو TAB M8 8505X - کد 694,متفرقه,327,قاب و کیف تبلت,235
gsp-16305,Patterned Tablet Bag for Samsung Galaxy Tab S6 Lite SM P615 / P619 - Code 622,کیف تبلت طرح دار سامسونگ Galaxy Tab S6 Lite SM P615 / P619 - کد 622,متفرقه,327,قاب و کیف تبلت,235
gsp-16306,Patterned Tablet Bag for Samsung T505 - Code 35,کیف تبلت طرح دار سامسونگ T505 - کد 35,متفرقه,327,قاب و کیف تبلت,235
gsp-16307,Patterned Tablet Bag for Samsung T515 - Code 67,کیف تبلت طرح دار سامسونگ T515 - کد 67,متفرقه,327,قاب و کیف تبلت,235
gsp-16310,Simple Tablet Bag for Samsung Galaxy Tab A8 10 SM-X205 - Golden,کیف تبلت ساده سامسونگ Galaxy Tab A8 10 SM-X205 - طلایی,متفرقه,327,قاب و کیف تبلت,235
gsp-16313,Patterned Tablet Bag for Lenovo TAB M8 8505X - Code 571,کیف تبلت طرح دار لنوو TAB M8 8505X - کد 571,متفرقه,327,قاب و کیف تبلت,235
gsp-16315,Simple Tablet Bag for Samsung Galaxy Tab A 8.0 2019 LTE SM-P205 - Black,کیف تبلت ساده سامسونگ Galaxy Tab A 8.0 2019 LTE SM-P205 - مشکی,متفرقه,327,قاب و کیف تبلت,235
gsp-16299,Patterned Tablet Bag for Samsung Galaxy S6 Lite / P610 / P615/ P619 - Code 630,کیف تبلت طرح دار سامسونگ Galaxy S6 Lite / P610 / P615/ P619 - کد 630,متفرقه,327,قاب و کیف تبلت,235
gsp-16309,Patterned Tablet Bag for Samsung Galaxy TAB A 10 2019 LTE SM-T515 - Code 728,کیف تبلت طرح دار سامسونگ Galaxy TAB A 10 2019 LTE SM-T515 - کد 728,متفرقه,327,قاب و کیف تبلت,235
